#;application/x-mathcad
%;application/x-trash
123;application/vnd.lotus-1-2-3
bar;application/vnd.qualcomm.brew-app-res
bat;application/x-msdos-program
bck;application/x-vmsbackup
bcpio;application/x-bcpio
bdf;application/x-font-bdf
bdm;application/vnd.syncml.dm+wbxml
bdmv;video/mp2t
bed;application/vnd.realvnc.bed
bh2;application/vnd.fujitsu.oasysprs
bib;text/x-bibtex
bik;video/vnd.radgamettools.bink
bin;application/x-mac-binary
bk2;video/vnd.radgamettools.bink
bkm;application/vnd.nervana
blb;application/x-blorb
bleep;application/x-bleeper
blend;application/x-blender
blender;application/x-blender
blorb;application/x-blorb
bm;image/bmp
bmed;multipart/vnd.bint.med-plus
bmi;application/vnd.bmi
bmml;application/vnd.balsamiq.bmml+xml
bmp;image/bmp
bmpr;application/vnd.balsamiq.bmpr
boo;text/x-boo
book;application/x-maker
box;application/vnd.previewsystems.box
boz;application/x-bzip2
bpd;application/vnd.fints
bpk;application/octet-stream
brf;text/plain
bsd;x-chemical/x-crossfire
bsh;application/x-bsh
bsp;model/vnd.valve.source.compiled-map
btf;image/prs.btif
btif;image/prs.btif
buffer;application/octet-stream
bz2;application/x-bzip2
bz;application/x-bzip
c++;text/x-c++src
c11amc;application/vnd.cluetrust.cartomobile-config
c11amz;application/vnd.cluetrust.cartomobile-config-pkg
c3d;x-chemical/x-chem3d
c3ex;application/cccex
c4d;application/vnd.clonk.c4group
c4f;application/vnd.clonk.c4group
c4g;application/vnd.clonk.c4group
c4p;application/vnd.clonk.c4group
c4u;application/vnd.clonk.c4group
c;text/x-csrc
cab;application/vnd.ms-cab-compressed
cac;x-chemical/x-cache
cache;x-chemical/x-cache
caf;audio/x-caf
cap;application/vnd.tcpdump.pcap
car;application/vnd.curl.car
cascii;x-chemical/x-cactvs-binary
cat;application/vnd.ms-pki.seccat
cb7;application/x-cbr
cba;application/x-cbr
cbin;x-chemical/x-cactvs-binary
cbl;text/x-cobol
cbor;application/cbor
cbr;application/vnd.comicbook-rar
cbt;application/x-cbr
cbz;application/vnd.comicbook+zip
cc;text/x-c++src
ccad;application/x-clariscad
ccc;text/vnd.net2phone.commcenter.command
ccmp;application/ccmp+xml
ccmx;application/x-ccmx
cco;application/x-cocoa
cct;application/x-director
ccxml;application/ccxml+xml
cda;application/x-cdf
cdbcmsg;application/vnd.contact.cmsg
cdf;application/x-cdf
cdfx;application/cdfx+xml
cdkey;application/vnd.mediastation.cdkey
cdmia;application/cdmi-capability
cdmic;application/cdmi-container
cdmid;application/cdmi-domain
cdmio;application/cdmi-object
cdmiq;application/cdmi-queue
cdr;image/x-coreldraw
